Processing 0.2  at total bits 100000000
Processing 0.25  at total bits 100000000
Processing 0.3  at total bits 10000000
Processing 0.4  at total bits 1000000
Processing 0.5  at total bits 1000000
Processing 0.6  at total bits 1000000
Processing 0.7  at total bits 1000000
Processing 0.8  at total bits 100000
Processing 0.9  at total bits 100000
Processing 1.0  at total bits 100000

